,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10
0,"('steering_wheel', 1.1235713362406385)","('coatrack', 1.2680054720761809)","('coatrack', 1.2680054738944224)","('coatrack', 1.2680054738944224)","('rubberduck', 1.1142708474542775)","('rubberduck', 1.3119698931956238)","('rubberduck', 1.4763765654119003)","('ironing', 1.0518332155972094)","('steering_wheel', 1.0095332131684671)"
1,"('fries', 1.0798037234212987)","('vacuum', 1.1973385735114905)","('vacuum', 1.1974466930256995)","('vacuum', 1.1974466930256995)","('slippers', 1.0987730495189196)","('coatrack', 1.1812781577902347)","('train', 1.3830617515315347)","('steering_wheel', 1.0422385223271826)","('pot', 1.0072507241601243)"
2,"('coatrack', 1.07585886087697)","('rubberduck', 1.1582438287176087)","('rubberduck', 1.1582438295052266)","('rubberduck', 1.1582438295052266)","('paper', 1.0908214875455913)","('stove', 1.142794160470385)","('ironing', 1.2995014963659846)","('tent', 1.038438707580822)","('punchingbag', 1.0065895436457137)"
3,"('train', 1.0733529031368976)","('pot', 1.1534255236218198)","('pot', 1.153481884965968)","('pot', 1.153481884965968)","('helmet', 1.0843197145918009)","('vacuum', 1.1270094962443233)","('vacuum', 1.2532217603264235)","('rubberduck', 1.033968337173681)","('sippycup', 1.0056844536717044)"
4,"('cow', 1.071594775436587)","('lamp', 1.1416840876240248)","('lamp', 1.1416840887971296)","('lamp', 1.1416840887971296)","('coatrack', 1.0839093170258458)","('ironing', 1.1262454291323474)","('steering_wheel', 1.246485526463909)","('dumbbell', 1.0309052517073574)","('cheesegrater', 1.00567659762998)"
5,"('slippers', 1.0686886068190098)","('barbie', 1.1318641906520028)","('barbie', 1.1318641916486272)","('barbie', 1.1318641916486272)","('steering_wheel', 1.0784987960258956)","('cheesegrater', 1.0923555872674167)","('stapler', 1.2202174445959146)","('trophy', 1.0279816188447028)","('parkingmeter', 1.0052591745896624)"
6,"('parkingmeter', 1.0672614036001489)","('pants', 1.1268934852510366)","('pants', 1.1268934858692374)","('pants', 1.1268934858692374)","('pot', 1.0771890945512854)","('pot', 1.087690997735981)","('beachchair', 1.185652321465352)","('roadsign', 1.0261556522002906)","('pants', 1.005015948807734)"
7,"('sink', 1.0661567507617595)","('tennisball', 1.1112352063242485)","('tennisball', 1.1112352069160578)","('tennisball', 1.1112352069160578)","('stove', 1.0760768010558375)","('barbie', 1.075745404104883)","('paper', 1.1813067633756367)","('wheelbarrow', 1.026130106854709)","('stove', 1.0047540026374702)"
8,"('helmet', 1.064740972984105)","('slippers', 1.1054823076920235)","('slippers', 1.1054823083755054)","('slippers', 1.1054823083755054)","('barbie', 1.0671232269313402)","('steering_wheel', 1.075289751624254)","('stove', 1.1752935918405942)","('cow', 1.0225423475419972)","('train', 1.0038708471792148)"
9,"('pot', 1.0640871588364653)","('sink', 1.0977441532983665)","('sink', 1.0977441539765966)","('sink', 1.0977441539765966)","('vacuum', 1.0527449396926511)","('paper', 1.0722917224338562)","('barbie', 1.1539652769436104)","('pancake', 1.0189353131837304)","('cart', 1.0029736683671577)"
