,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10
0,"('beachpail', 0.8412703078309963)","('beachpail', 0.928871590922704)","('beachpail', 0.9292028275532112)","('beachpail', 0.9292028275532112)","('tennisball', 0.9167046750681226)","('tent', 0.7106223052291216)","('tent', -0.0785347450295809)","('lifejacket', 0.20252836361696516)","('cone', -0.0417037464948872)"
1,"('tent', 0.9168666038405767)","('golfclubs', 0.9493992128297847)","('golfclubs', 0.9491667429674749)","('golfclubs', 0.9491667429674749)","('toothpaste', 0.9185878373369254)","('lifejacket', 0.7933396593626316)","('lifejacket', 0.13845080296134993)","('tent', 0.5184449020006666)","('lifejacket', 0.0847377838699629)"
2,"('golfclubs', 0.9180338493565731)","('tennisball', 0.9671499204747546)","('tennisball', 0.9670989815055894)","('tennisball', 0.9670989815055894)","('rubberduck', 0.9345848648762691)","('cart', 0.8504422763018382)","('cart', 0.3779163196118544)","('cart', 0.5948241965487046)","('chopsticks', 0.21660742393636573)"
3,"('tennisball', 0.9227641711078741)","('toothpaste', 0.974548830028779)","('toothpaste', 0.9752150911026337)","('toothpaste', 0.9752150911026337)","('beachpail', 0.9412212218598656)","('golfclubs', 0.8887435974623746)","('roadsign', 0.3852458596325946)","('cone', 0.6437491972645177)","('tent', 0.23498902807896735)"
4,"('cart', 0.9315859224062963)","('cart', 0.9764914556746989)","('cart', 0.9763605160364087)","('cart', 0.9763605160364087)","('tent', 0.9413480786096413)","('beachpail', 0.8924960647349186)","('cone', 0.4029222186582997)","('helmet', 0.6605621575208201)","('cart', 0.6182836610043317)"
5,"('beachchair', 0.936428499245675)","('ironing', 0.9804577166547072)","('ironing', 0.9803279944162784)","('ironing', 0.9803279944162784)","('golfclubs', 0.9427815077063505)","('helmet', 0.9012867380227902)","('hammer', 0.4257268834702235)","('chopsticks', 0.6625063580158355)","('saddle', 0.6226711376533726)"
6,"('starfish', 0.9388691010633189)","('beachchair', 0.9807119685341943)","('lifejacket', 0.9840406754858072)","('lifejacket', 0.9840406754858072)","('beachchair', 0.951089745211885)","('punchingbag', 0.9111036320996627)","('golfclubs', 0.5019526358861076)","('motorhelmet', 0.774320149898404)","('hammer', 0.6558541443796473)"
7,"('toothpaste', 0.9449901392466933)","('lifejacket', 0.9841710820385641)","('beachchair', 0.9842776388123319)","('beachchair', 0.9842776388123319)","('vacuum', 0.9552059072259822)","('beachchair', 0.9113809208338232)","('wheelbarrow', 0.5756688684440774)","('remotecontrol', 0.7890769259034928)","('trophy', 0.6563254454297641)"
8,"('bowlingpin', 0.9451412744522704)","('saddle', 0.9850617192143832)","('cone', 0.9851449516682004)","('cone', 0.9851449516682004)","('lifejacket', 0.9691651224623388)","('cone', 0.9224109812327682)","('trophy', 0.6011782776306843)","('trophy', 0.8201899192187331)","('remotecontrol', 0.657773360373407)"
9,"('lifejacket', 0.9489746305373605)","('cone', 0.9853187456181693)","('saddle', 0.985288581361728)","('saddle', 0.985288581361728)","('coffeecup', 0.9708709119467376)","('garbagebin', 0.937955494429977)","('beachpail', 0.6381300649473519)","('sippycup', 0.8397215520018474)","('sippycup', 0.6728757696264478)"
