,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10
0,"('beachpail', 0.8028694295238414)","('bowlingpin', 0.8629800263486469)","('bowlingpin', 0.8635794733685754)","('bowlingpin', 0.8635794733685754)","('tent', 0.8072819765202017)","('cone', 0.8114364656938481)","('lifejacket', 0.7967169282898056)","('steering_wheel', 0.9690711998418587)","('coatrack', 0.9976121645173679)"
1,"('beachchair', 0.8940267730494559)","('chopsticks', 0.8757301111677868)","('chopsticks', 0.8774476951179939)","('chopsticks', 0.8774476951179939)","('golfclubs', 0.8133043711146825)","('tent', 0.8254338087122804)","('cone', 0.8478106884531682)","('train', 0.9777571054166667)","('cone', 0.9976681864349237)"
2,"('cart', 0.8940364556142603)","('golfclubs', 0.8870332046567029)","('golfclubs', 0.8878152374609345)","('golfclubs', 0.8878152374609345)","('hammer', 0.8728664088912904)","('hammer', 0.8435482272458633)","('saddle', 0.8635451401705434)","('tennisball', 0.9784524848872495)","('tennisball', 0.998096347452281)"
3,"('golfclubs', 0.9044250245921404)","('tent', 0.8965220318065616)","('hammer', 0.8942912064816135)","('hammer', 0.8942912064816135)","('lifejacket', 0.8992934730159533)","('lifejacket', 0.8496060751161876)","('fries', 0.9066069162382092)","('saddle', 0.9826609828744646)","('paper', 0.9982007529388968)"
4,"('tent', 0.932880765669181)","('hammer', 0.8966096347628293)","('tent', 0.8967703349911795)","('tent', 0.8967703349911795)","('cow', 0.902689003425411)","('golfclubs', 0.8804321492861596)","('trophy', 0.9067097596291571)","('barbie', 0.9830272544663553)","('lifejacket', 0.9984130360209316)"
5,"('rubberduck', 0.9449192100059142)","('remotecontrol', 0.9062410285921677)","('remotecontrol', 0.9061550328025592)","('remotecontrol', 0.9061550328025592)","('cone', 0.9262229891263408)","('starfish', 0.899638357629084)","('golfclubs', 0.9084553997189887)","('pancake', 0.9831109496569612)","('pancake', 0.9984291189721394)"
6,"('tennisball', 0.9451472339174707)","('cone', 0.9203050995544344)","('cone', 0.9191708627142368)","('cone', 0.9191708627142368)","('garbagebin', 0.9266046686623562)","('cow', 0.9078145658324306)","('cart', 0.9318824134836986)","('rubberduck', 0.9836523636092125)","('slippers', 0.9985152230506092)"
7,"('toothpaste', 0.947783524212281)","('garbagebin', 0.9252475151446975)","('garbagebin', 0.9253629710821168)","('garbagebin', 0.9253629710821168)","('bowlingpin', 0.9301581803973334)","('cart', 0.9157042769312937)","('wheelbarrow', 0.9379977762590624)","('pot', 0.9857950671116104)","('helmet', 0.9985436400461319)"
8,"('bowlingpin', 0.9555647428305827)","('baseballball', 0.935124058803965)","('baseballball', 0.9349493610078932)","('baseballball', 0.9349493610078932)","('fries', 0.9561342905698774)","('garbagebin', 0.9178035510057492)","('barbie', 0.9540153663534392)","('sofa', 0.9865296743047827)","('wheelbarrow', 0.9986265019496278)"
9,"('lifejacket', 0.9560016128624435)","('fries', 0.9411940526793661)","('fries', 0.9409664213498785)","('fries', 0.9409664213498785)","('chopsticks', 0.9606118720599727)","('fries', 0.9282356778078841)","('slippers', 0.9582876599265531)","('garbagebin', 0.9884569940554117)","('cutter', 0.998761521627972)"
