,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10
0,"('steering_wheel', 1.0961625945634546)","('coatrack', 1.175929901342003)","('coatrack', 1.1773991109304607)","('coatrack', 1.1773991109304607)","('coatrack', 1.180404122402075)","('coatrack', 1.2300082818619835)","('train', 1.1674836425364576)","('cow', 1.0436092712645582)","('steering_wheel', 1.0033814442987565)"
1,"('helmet', 1.0660001898074225)","('tennisball', 1.1610607697332358)","('tennisball', 1.1627588703909773)","('tennisball', 1.1627588703909773)","('rubberduck', 1.1163145560229524)","('rubberduck', 1.205087963867985)","('cow', 1.149678647407645)","('wheelbarrow', 1.0361229134478669)","('toothpaste', 1.0025136051307497)"
2,"('dumbbell', 1.0655307256190765)","('rubberduck', 1.1248045676658442)","('rubberduck', 1.1247766016291025)","('rubberduck', 1.1247766016291025)","('toothpaste', 1.1135816514579928)","('ironing', 1.1408894698869783)","('rubberduck', 1.131936153328451)","('sink', 1.0342600401426596)","('hammer', 1.0021955822946478)"
3,"('sink', 1.0584405505127823)","('vacuum', 1.121033785831872)","('vacuum', 1.1211648105682432)","('vacuum', 1.1211648105682432)","('slippers', 1.0909711675063642)","('vacuum', 1.1375506563423303)","('ironing', 1.1264813797345155)","('coatrack', 1.0245484488967527)","('golfclubs', 1.0019267272670516)"
4,"('parkingmeter', 1.0581966820320399)","('pot', 1.0969670508290177)","('pot', 1.097828685500722)","('pot', 1.097828685500722)","('barbie', 1.089514338524505)","('paper', 1.1262684767664102)","('steering_wheel', 1.1157332347412832)","('lamp', 1.0243778466691866)","('stove', 1.001612414596995)"
5,"('fries', 1.0562545782818533)","('pants', 1.0823749374919032)","('pants', 1.0825946447491575)","('pants', 1.0825946447491575)","('vacuum', 1.0749484461622711)","('lamp', 1.0925322658981982)","('vacuum', 1.1040184451552342)","('beachpail', 1.0230536878143333)","('coffeecup', 1.0014910786570415)"
6,"('coatrack', 1.0538802241651821)","('helmet', 1.0762308904213698)","('helmet', 1.0762096994698633)","('helmet', 1.0762096994698633)","('stove', 1.072570417943508)","('pancake', 1.0898958416022697)","('garbagebin', 1.0923468632129754)","('starfish', 1.0228653269967771)","('baseballball', 1.0012668558647893)"
7,"('pot', 1.0502230693903554)","('barbie', 1.0728234422986427)","('barbie', 1.0729978161028886)","('barbie', 1.0729978161028886)","('cutter', 1.0718699862648133)","('toothpaste', 1.0889040120812437)","('stapler', 1.0916773982143333)","('stapler', 1.0184769786164378)","('pot', 1.0012645399953175)"
8,"('barbie', 1.0501799528224691)","('slippers', 1.0701717184701312)","('slippers', 1.069823993871437)","('slippers', 1.069823993871437)","('stapler', 1.070889405577936)","('stapler', 1.078191502799298)","('pot', 1.0773176588500235)","('motorhelmet', 1.0179768592493188)","('starfish', 1.0011956690907753)"
9,"('cow', 1.046737645494139)","('pancake', 1.062950759589487)","('pancake', 1.062967713905169)","('pancake', 1.062967713905169)","('paper', 1.0701894862328063)","('bowlingpin', 1.0670496404589676)","('sofa', 1.0762434859731929)","('punchingbag', 1.017650805549158)","('vacuum', 1.001119265444438)"
