,Vgg16
0,"(0.9993988953427797, 0.01740665188402049)"
1,"(0.9994432662595185, 0.017193117266936935)"
2,"(1.004797615217214, 0.053103887098799735)"
3,"(1.0048139735711303, 0.05308654993367648)"
4,"(1.0048139735711303, 0.05308654993367648)"
5,"(1.0190229492767384, 0.09619705011929344)"
6,"(1.019025478721603, 0.0961944515415643)"
7,"(1.0389366113013114, 0.1761495620872612)"
8,"(1.0389366113013114, 0.1761495620872612)"
9,"(1.0389366113013114, 0.1761495620872612)"
10,"(1.0239311478939936, 0.11325529779070644)"
11,"(1.0239221088742718, 0.11322095510427196)"
12,"(1.0248434421323478, 0.14707355931529542)"
13,"(1.0248493806925845, 0.14707488415873202)"
14,"(1.0409956416183064, 0.24889604498529402)"
15,"(1.0409787009103044, 0.24886195891015642)"
16,"(1.0409787009103044, 0.24886195891015642)"
17,"(1.0511362780920783, 0.2338128366588198)"
18,"(1.0510335167084177, 0.23376899727510317)"
19,"(1.1006909824789965, 0.3659997765971558)"
20,"(1.1005210393115477, 0.3663233325642523)"
21,"(1.3704793109083644, 1.2785942837730562)"
22,"(1.3749002185618266, 1.2784047001850871)"
23,"(1.3749002185618266, 1.2784047001850871)"
24,"(1.546500497415548, 2.428517650304398)"
25,"(1.5376838052202413, 2.3077928369263785)"
26,"(1.72312033364826, 7.210406775865963)"
27,"(0.40618711784561035, 4.101510080925032)"
28,"(0.6344325292641467, 3.4565466958297013)"
29,"(1.1788503468636125, 3.876850827696836)"
30,"(1.1788503468636125, 3.876850827696836)"
