,Vgg16
0,"(0.9363070421662485, 0.017558519651339644)"
1,"(0.9369964185153181, 0.016457035783679644)"
2,"(0.7679404197031364, 0.07130389674022934)"
3,"(0.7679363477805418, 0.0713169183132006)"
4,"(0.7679363477805418, 0.0713169183132006)"
5,"(0.6325407914041182, 0.05270615200437818)"
6,"(0.6325426746955803, 0.05270000064720621)"
7,"(0.49676851262028715, 0.06917516461055531)"
8,"(0.49676851262028715, 0.06917516461055531)"
9,"(0.49676851262028715, 0.06917516461055531)"
10,"(0.5394479466294747, 0.05110146438683227)"
11,"(0.5394941961788973, 0.05107670562317332)"
12,"(0.4790601224236935, 0.04911793630735944)"
13,"(0.4790740025781708, 0.04911167448726204)"
14,"(0.3641325450096335, 0.052083915878434354)"
15,"(0.36415817070374373, 0.052081102778092164)"
16,"(0.36415817070374373, 0.052081102778092164)"
17,"(0.33720915289592895, 0.05585544559428642)"
18,"(0.3370392947930049, 0.05587939013204038)"
19,"(0.24845612892909977, 0.056325027282652984)"
20,"(0.24773597626942517, 0.056142712108678806)"
21,"(0.15292684132592216, 0.060261667334253324)"
22,"(0.1505701066469655, 0.05972881933375573)"
23,"(0.1505701066469655, 0.05972881933375573)"
24,"(0.1792858330101608, 0.06948747368931964)"
25,"(0.17564706185120013, 0.06871750421968938)"
26,"(0.09689219240822432, 0.05921876307378306)"
27,"(0.08836759738624189, 0.05710691191319845)"
28,"(0.05658037043276097, 0.05220306455094253)"
29,"(0.035278154786335406, 0.04554618803462595)"
30,"(0.035278154786335406, 0.04554618803462595)"
