,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10,Layer14_bottom10,Layer15_bottom10,Layer16_bottom10,Layer17_bottom10,Layer18_bottom10,Layer19_bottom10,Layer20_bottom10,Layer21_bottom10,Layer22_bottom10,Layer23_bottom10,Layer24_bottom10,Layer25_bottom10,Layer26_bottom10,Layer27_bottom10,Layer28_bottom10,Layer29_bottom10,Layer30_bottom10,Layer31_bottom10
0,"('beachpail', 0.9483797325412539)","('beachpail', 0.9506655899604849)","('beachpail', 0.8614901305358094)","('beachpail', 0.8618821882730364)","('beachpail', 0.8618821882730364)","('cart', 0.7978052056663014)","('cart', 0.7978052056663014)","('lifejacket', 0.6220432398721545)","('lifejacket', 0.6220432398721545)","('lifejacket', 0.6220432398721545)","('lifejacket', 0.6788999270685107)","('lifejacket', 0.6788999270685107)","('lifejacket', 0.555142188407391)","('lifejacket', 0.555142188407391)","('lifejacket', 0.30300090767867605)","('lifejacket', 0.30308431069119157)","('lifejacket', 0.30308431069119157)","('lifejacket', 0.27723473846440116)","('lifejacket', 0.2771826850003248)","('lifejacket', -0.02141488738243771)","('lifejacket', -0.021951709096373378)","('baseballball', -0.6300971931897152)","('baseballball', -0.49759523025207253)","('baseballball', -0.49759523025207253)","('lifejacket', -0.2110550048208921)","('lifejacket', -0.2219831210344415)","('starfish', -7.573399037279663)","('slippers', -24.348189773319675)","('rubberduck', -8.434741024044786)","('slippers', -7.287170769293477)","('slippers', -7.287170769293477)"
1,"('cart', 0.9638156243812931)","('cart', 0.9637254263122023)","('cart', 0.8623780469964557)","('cart', 0.8623780469964557)","('cart', 0.8623780469964557)","('garbagebin', 0.8387888050082442)","('garbagebin', 0.8387888050082442)","('tent', 0.6447237457585734)","('tent', 0.6447237457585734)","('tent', 0.6447237457585734)","('tent', 0.7252072266730015)","('tent', 0.7252072266730015)","('tent', 0.5697413905239456)","('tent', 0.5697413905239456)","('tent', 0.4033847777162292)","('tent', 0.4033847777162292)","('tent', 0.4033847777162292)","('tent', 0.474392117534442)","('tent', 0.4737391383615492)","('golfclubs', 0.29690087049298464)","('golfclubs', 0.29674004030853357)","('lifejacket', -0.3456999294552899)","('lifejacket', -0.35240392371475404)","('lifejacket', -0.35240392371475404)","('golfclubs', 0.12049192568996571)","('golfclubs', 0.11893728149175735)","('rubberduck', -7.0404185780588975)","('starfish', -6.0793529254876635)","('pants', -7.256492832697831)","('lifejacket', -2.5753400820298853)","('lifejacket', -2.5753400820298853)"
2,"('starfish', 0.9699728008430553)","('starfish', 0.9688554312535109)","('punchingbag', 0.8795668608624347)","('punchingbag', 0.8795668608624347)","('punchingbag', 0.8795668608624347)","('trophy', 0.8546918472921017)","('trophy', 0.8546918472921017)","('cart', 0.6636882052530083)","('cart', 0.6636882052530083)","('cart', 0.6636882052530083)","('cart', 0.8285532190830374)","('cart', 0.8288242939446123)","('beachchair', 0.6959592370675834)","('beachchair', 0.6959592370675834)","('hammer', 0.6682521866316511)","('hammer', 0.6682521866316511)","('hammer', 0.6682521866316511)","('golfclubs', 0.5719821790050685)","('golfclubs', 0.5720219445722181)","('tent', 0.3691902418796825)","('tent', 0.3689975085951248)","('golfclubs', -0.025221910319988966)","('golfclubs', -0.02541996564932784)","('golfclubs', -0.02541996564932784)","('wheelbarrow', 0.1644614434716679)","('wheelbarrow', 0.16393174621008322)","('cow', -5.593560172127776)","('cow', -5.535565161350401)","('tennisball', -6.52793323310019)","('barbie', -2.2131558649627165)","('barbie', -2.2131558649627165)"
3,"('bowlingpin', 0.9728901502646022)","('bowlingpin', 0.972776824364885)","('hammer', 0.9276443827151171)","('hammer', 0.9276443827151171)","('hammer', 0.9276443827151171)","('hammer', 0.8787170370664131)","('hammer', 0.8787170370664131)","('garbagebin', 0.7224268480739748)","('garbagebin', 0.7224268480739748)","('garbagebin', 0.7224268480739748)","('garbagebin', 0.8407625382035651)","('garbagebin', 0.8407625382035651)","('golfclubs', 0.7392749997590091)","('golfclubs', 0.7392749997590091)","('golfclubs', 0.6688279704279728)","('golfclubs', 0.6688279704279728)","('golfclubs', 0.6688279704279728)","('cone', 0.726397402255999)","('cone', 0.7276234814081406)","('wheelbarrow', 0.5541271058211608)","('wheelbarrow', 0.5542865857250457)","('tent', 0.21313040609463962)","('tent', 0.2041346481336846)","('tent', 0.2041346481336846)","('tent', 0.2152765643354307)","('tent', 0.21116157860661988)","('tennisball', -2.0813019771610346)","('rubberduck', -5.522085866813405)","('barbie', -6.280220084073726)","('cow', -2.117134006577967)","('cow', -2.117134006577967)"
4,"('beachchair', 0.9745979309715682)","('lifejacket', 0.975372778033323)","('garbagebin', 0.9451549304361411)","('garbagebin', 0.9451549304361411)","('garbagebin', 0.9451549304361411)","('lifejacket', 0.8791094670692008)","('lifejacket', 0.8791094670692008)","('hammer', 0.7692559648422673)","('hammer', 0.7692559648422673)","('hammer', 0.7692559648422673)","('golfclubs', 0.8749102789575918)","('golfclubs', 0.8749102789575918)","('cone', 0.8722176562782601)","('cone', 0.8722176562782601)","('cone', 0.6790865253948432)","('cone', 0.6790865253948432)","('cone', 0.6790865253948432)","('beachchair', 0.755538177672069)","('beachchair', 0.7546740317763074)","('beachchair', 0.6767963051167495)","('beachchair', 0.6735988129988011)","('wheelbarrow', 0.22863553781770435)","('wheelbarrow', 0.22105782952032874)","('wheelbarrow', 0.22105782952032874)","('beachpail', 0.5974548451517249)","('beachpail', 0.5976748798319272)","('lifejacket', -0.7079006975591614)","('lifejacket', -0.8246866968158602)","('baseballball', -4.044770670818957)","('tennisball', -1.992526975711647)","('tennisball', -1.992526975711647)"
5,"('lifejacket', 0.9754513523006361)","('beachchair', 0.9780033015192025)","('bowlingpin', 0.9459687000658127)","('bowlingpin', 0.9459687000658127)","('bowlingpin', 0.9459687000658127)","('helmet', 0.8893519929406231)","('helmet', 0.8893519929406231)","('helmet', 0.8227383862061003)","('helmet', 0.8227383862061003)","('helmet', 0.8227383862061003)","('beachchair', 0.8797887032393804)","('beachchair', 0.8797887032393804)","('cart', 0.8821037550549402)","('cart', 0.8821037550549402)","('cart', 0.7016187901815811)","('cart', 0.7016187901815811)","('cart', 0.7016187901815811)","('cart', 0.8339455389509335)","('cart', 0.8340218459104846)","('cone', 0.6892182143055435)","('cone', 0.6889712824245275)","('beachpail', 0.6008581877890684)","('beachpail', 0.5808611300400047)","('beachpail', 0.5808611300400047)","('cone', 0.6692525600971162)","('cone', 0.6604695424544592)","('golfclubs', -0.43297922237065845)","('tennisball', -0.7252568396961199)","('cutter', -3.7901519071973686)","('golfclubs', -1.8585490767146646)","('golfclubs', -1.8585490767146646)"
6,"('golfclubs', 0.9785317373533617)","('golfclubs', 0.9784448422366052)","('cutter', 0.9468384350285011)","('cutter', 0.9468384350285011)","('cutter', 0.9468384350285011)","('rubberduck', 0.897572924177006)","('rubberduck', 0.897572924177006)","('trophy', 0.8594148947900576)","('trophy', 0.8594148947900576)","('trophy', 0.8594148947900576)","('hammer', 0.9267918917160406)","('hammer', 0.9268807398123756)","('hammer', 0.8893870684616723)","('hammer', 0.8893870684616723)","('beachchair', 0.7825606903214095)","('beachchair', 0.7825606903214095)","('beachchair', 0.7825606903214095)","('remotecontrol', 0.8467423157619974)","('remotecontrol', 0.8462011105157233)","('helmet', 0.7827468697514884)","('helmet', 0.7789087706765099)","('cone', 0.6207343667108194)","('cone', 0.6119507245204642)","('cone', 0.6119507245204642)","('trophy', 0.6790237808272206)","('trophy', 0.6637220987019945)","('tent', -0.021241406065649865)","('golfclubs', -0.46289038364016355)","('starfish', -2.6944368740042224)","('starfish', -1.7483304614033766)","('starfish', -1.7483304614033766)"
7,"('toothpaste', 0.9814702214546969)","('rubberduck', 0.9816257243243748)","('rubberduck', 0.9562301482689913)","('rubberduck', 0.9562301482689913)","('rubberduck', 0.9562301482689913)","('toothpaste', 0.8996001190436702)","('toothpaste', 0.8996001190436702)","('cone', 0.8901932845590524)","('cone', 0.8901932845590524)","('cone', 0.8901932845590524)","('beachpail', 0.9323062102391576)","('beachpail', 0.9323062102391576)","('garbagebin', 0.8913787316745118)","('garbagebin', 0.8913787316745118)","('helmet', 0.8190681953193755)","('helmet', 0.8190681953193755)","('helmet', 0.8190681953193755)","('wheelbarrow', 0.8546768367205404)","('wheelbarrow', 0.8544734274242378)","('helmet', 0.7947396154880896)","('helmet', 0.7949028116111433)","('beachchair', 0.635185757551086)","('beachchair', 0.6178489001529757)","('beachchair', 0.6178489001529757)","('helmet', 0.7231699743503902)","('helmet', 0.7193923914877859)","('saddle', 0.000479563286331931)","('tent', -0.12024799687703058)","('cow', -1.8493257694649865)","('rubberduck', -1.5878290191316704)","('rubberduck', -1.5878290191316704)"
8,"('rubberduck', 0.981575783034609)","('toothpaste', 0.9821098366422271)","('lifejacket', 0.961128229946177)","('lifejacket', 0.961128229946177)","('lifejacket', 0.961128229946177)","('beachchair', 0.919679473132602)","('beachchair', 0.919679473132602)","('punchingbag', 0.9089862193656453)","('punchingbag', 0.9089862193656453)","('punchingbag', 0.9089862193656453)","('trophy', 0.9330072144110947)","('trophy', 0.9330072144110947)","('helmet', 0.9120073767385093)","('helmet', 0.9120073767385093)","('helmet', 0.8223437100009965)","('helmet', 0.8223437100009965)","('helmet', 0.8223437100009965)","('helmet', 0.877335896258862)","('helmet', 0.8768316092121451)","('baseballball', 0.8180298895539116)","('baseballball', 0.8176044132261399)","('trophy', 0.7153130759030673)","('trophy', 0.7172892575643518)","('trophy', 0.7172892575643518)","('saddle', 0.7349667095184182)","('saddle', 0.7381097842120642)","('wheelbarrow', 0.042567855988396186)","('saddle', -0.05774939806815358)","('lifejacket', -1.2182478906519778)","('saddle', -1.1600278550839334)","('saddle', -1.1600278550839334)"
9,"('cutter', 0.9834034418105321)","('cutter', 0.9832938397312058)","('sippycup', 0.9622197004434362)","('sippycup', 0.9622197004434362)","('sippycup', 0.9622197004434362)","('punchingbag', 0.9385630169420688)","('punchingbag', 0.9385630169420688)","('baseballball', 0.930041296286633)","('baseballball', 0.930041296286633)","('baseballball', 0.930041296286633)","('helmet', 0.938165103954037)","('helmet', 0.9381795918910671)","('remotecontrol', 0.9317214021031356)","('remotecontrol', 0.9317214021031356)","('garbagebin', 0.8288823774632751)","('garbagebin', 0.8289753478348455)","('garbagebin', 0.8289753478348455)","('saddle', 0.8830063731581065)","('saddle', 0.8832673380367988)","('remotecontrol', 0.8188447599316414)","('remotecontrol', 0.8200623833348)","('helmet', 0.7534473266348042)","('helmet', 0.7451647446920832)","('helmet', 0.7451647446920832)","('beachchair', 0.7525364824692728)","('beachchair', 0.7516728191640137)","('beachpail', 0.3664273256044842)","('wheelbarrow', 0.014078589142894471)","('golfclubs', -1.0435455390151875)","('pants', -1.1121398951359371)","('pants', -1.1121398951359371)"
