,Layer1_bottom10,Layer2_bottom10,Layer3_bottom10,Layer4_bottom10,Layer5_bottom10,Layer6_bottom10,Layer7_bottom10,Layer8_bottom10,Layer9_bottom10,Layer10_bottom10,Layer11_bottom10,Layer12_bottom10,Layer13_bottom10,Layer14_bottom10,Layer15_bottom10,Layer16_bottom10,Layer17_bottom10,Layer18_bottom10,Layer19_bottom10,Layer20_bottom10,Layer21_bottom10,Layer22_bottom10,Layer23_bottom10,Layer24_bottom10,Layer25_bottom10,Layer26_bottom10,Layer27_bottom10,Layer28_bottom10,Layer29_bottom10,Layer30_bottom10,Layer31_bottom10,Layer32_bottom10,Layer33_bottom10,Layer34_bottom10,Layer35_bottom10,Layer36_bottom10,Layer37_bottom10
0,"('cart', 0.938215338594211)","('cart', 0.9381256193661681)","('cart', 0.8615523493024545)","('cart', 0.8616235243334388)","('cart', 0.8616235243334388)","('cart', 0.7807727792881708)","('cart', 0.7807795291814092)","('cart', 0.5663988354198777)","('cart', 0.5663988354198777)","('cart', 0.5663988354198777)","('lifejacket', 0.6751988122306667)","('lifejacket', 0.6751981201433296)","('lifejacket', 0.5830902126057782)","('lifejacket', 0.5830902126057782)","('lifejacket', 0.5836615179292791)","('lifejacket', 0.5836615179292791)","('tent', 0.47997974415449324)","('tent', 0.47997974415449324)","('tent', 0.47997974415449324)","('lifejacket', 0.38446229658668424)","('lifejacket', 0.38484503486848787)","('lifejacket', 0.20396919961157978)","('lifejacket', 0.2037252305287097)","('lifejacket', 0.12330558351392512)","('lifejacket', 0.12293337871704253)","('lifejacket', -0.17049335446278188)","('lifejacket', -0.17812735852892636)","('lifejacket', -0.17812735852892636)","('tent', -0.026052231064958898)","('tent', -0.015710393643672844)","('cow', -13.156844610619501)","('cow', -13.544803388961553)","('tennisball', -10.460861789293888)","('hammer', -16.390045313513724)","('pants', -26.421411619005784)","('steering_wheel', -27.987099159264677)","('steering_wheel', -27.987099159264677)"
1,"('beachpail', 0.9578146035046754)","('beachpail', 0.9590020157400057)","('punchingbag', 0.8929235000526542)","('punchingbag', 0.8929460581853694)","('punchingbag', 0.8929460581853694)","('garbagebin', 0.855264018903171)","('garbagebin', 0.8552554788605041)","('tent', 0.6421730650094116)","('tent', 0.6421730650094116)","('tent', 0.6421730650094116)","('tent', 0.7810570938242046)","('tent', 0.7809183667804471)","('tent', 0.6325222181512061)","('tent', 0.6325222181512061)","('tent', 0.5894679843556253)","('tent', 0.5894679843556253)","('lifejacket', 0.48944013139881865)","('lifejacket', 0.48944013139881865)","('lifejacket', 0.48944013139881865)","('tent', 0.4491475575663369)","('tent', 0.4503621740625167)","('tent', 0.454563778027155)","('tent', 0.45563050195730476)","('tent', 0.21538788051599803)","('tent', 0.2143836631836663)","('tent', 0.011477066864821374)","('tent', 0.00431702384285188)","('tent', 0.00431702384285188)","('lifejacket', 0.02057998443099203)","('lifejacket', 0.02927440038580427)","('lifejacket', -0.1848318150135094)","('lifejacket', -0.2018026991596744)","('starfish', -6.111947372764278)","('tennisball', -7.4526460265937065)","('dumbbell', -23.15897831800022)","('slippers', -24.794630260150342)","('slippers', -24.794630260150342)"
2,"('punchingbag', 0.9592926257379756)","('punchingbag', 0.9592041267531334)","('garbagebin', 0.9245982930376037)","('garbagebin', 0.9242872844603123)","('garbagebin', 0.9242872844603123)","('trophy', 0.8857431118278812)","('trophy', 0.885752034156956)","('lifejacket', 0.6952106872299635)","('lifejacket', 0.6952106872299635)","('lifejacket', 0.6952106872299635)","('cart', 0.7831012594772486)","('cart', 0.7830879409953218)","('golfclubs', 0.7909197956016677)","('golfclubs', 0.7909197956016677)","('golfclubs', 0.7418755188774474)","('golfclubs', 0.7418755188774474)","('golfclubs', 0.6824354954785735)","('golfclubs', 0.6824354954785735)","('golfclubs', 0.6824354954785735)","('golfclubs', 0.6857877059188323)","('golfclubs', 0.6858222194669475)","('golfclubs', 0.48463668934350435)","('golfclubs', 0.4851475140240312)","('golfclubs', 0.3260379678596176)","('golfclubs', 0.3255343544930698)","('golfclubs', 0.09898344725866236)","('golfclubs', 0.09289872490835101)","('golfclubs', 0.09289872490835101)","('golfclubs', 0.2636138761722981)","('golfclubs', 0.2681478226645572)","('helmet', 0.05738623865557571)","('helmet', -0.016046436117863085)","('hammer', -5.8126510002399225)","('starfish', -4.621671521770161)","('saddle', -6.017203200385347)","('dumbbell', -7.689827918291503)","('dumbbell', -7.689827918291503)"
3,"('cutter', 0.969132516532805)","('cutter', 0.9690253006279589)","('beachpail', 0.9277344434906973)","('beachpail', 0.9280156734748507)","('beachpail', 0.9280156734748507)","('golfclubs', 0.8898704572103517)","('golfclubs', 0.8898666597762123)","('garbagebin', 0.6952459615202496)","('garbagebin', 0.6952459615202496)","('garbagebin', 0.6952459615202496)","('garbagebin', 0.8402606989423934)","('garbagebin', 0.8402590209953422)","('beachchair', 0.8323880167209979)","('beachchair', 0.8323880167209979)","('beachchair', 0.7548014178407375)","('beachchair', 0.7547935946702811)","('cone', 0.7113515774851191)","('cone', 0.7113515774851191)","('cone', 0.7113515774851191)","('beachchair', 0.755049272347284)","('beachchair', 0.7549180023671963)","('wheelbarrow', 0.6975896545945784)","('wheelbarrow', 0.6981434279219648)","('wheelbarrow', 0.36589675604593996)","('wheelbarrow', 0.36547972200298)","('wheelbarrow', 0.36896103560359006)","('wheelbarrow', 0.364987044049094)","('wheelbarrow', 0.364987044049094)","('wheelbarrow', 0.4177017556192903)","('wheelbarrow', 0.42222178823432316)","('golfclubs', 0.05797649024890988)","('golfclubs', 0.06077613474342639)","('cow', -4.3956258357006455)","('cow', -4.448695307109307)","('tennisball', -5.113517026585417)","('lifejacket', -3.8151060480399086)","('lifejacket', -3.8151060480399086)"
4,"('beachchair', 0.9751179408240594)","('starfish', 0.9740028083811548)","('cutter', 0.935687137575097)","('cutter', 0.9357200581427035)","('cutter', 0.9357200581427035)","('lifejacket', 0.8906356079644144)","('lifejacket', 0.8906143594323934)","('helmet', 0.7426091253528176)","('helmet', 0.7426091253528176)","('helmet', 0.7426091253528176)","('golfclubs', 0.8893207425903936)","('golfclubs', 0.8893087330696408)","('garbagebin', 0.8469159742779586)","('garbagebin', 0.8469159742779586)","('cone', 0.857517620158918)","('cone', 0.857517620158918)","('cart', 0.7891742989506414)","('cart', 0.7891742989506414)","('cart', 0.7891742989506414)","('baseballball', 0.7769781063486451)","('baseballball', 0.7770525145861501)","('beachchair', 0.7149442979621592)","('beachchair', 0.7113220570386914)","('cone', 0.7078675199699219)","('cone', 0.7064121339869647)","('helmet', 0.41074720890822325)","('helmet', 0.3991738227124154)","('helmet', 0.3991738227124154)","('helmet', 0.5601528874319716)","('helmet', 0.5569667532824886)","('tent', 0.08788883392839943)","('tent', 0.06966316596955267)","('baseballball', -1.0223593556630135)","('lifejacket', -0.9903574863967312)","('starfish', -3.3829530483434223)","('golfclubs', -3.2966226894368558)","('golfclubs', -3.2966226894368558)"
5,"('starfish', 0.9754811125143003)","('beachchair', 0.9787763641942109)","('hammer', 0.9473527533162076)","('hammer', 0.9473196290972238)","('hammer', 0.9473196290972238)","('helmet', 0.8925928567473498)","('helmet', 0.8926013394681488)","('hammer', 0.7436083981796833)","('hammer', 0.7436083981796833)","('hammer', 0.7436083981796833)","('cone', 0.9041378551384215)","('cone', 0.9041368014217804)","('hammer', 0.8870108652993394)","('hammer', 0.8870108652993394)","('helmet', 0.8754545411284044)","('helmet', 0.8754545411284044)","('hammer', 0.7958048366053864)","('hammer', 0.7958048366053864)","('hammer', 0.7958048366053864)","('cone', 0.7864382313406107)","('cone', 0.7868096162793891)","('cone', 0.7308483483812421)","('cone', 0.730463303616832)","('saddle', 0.7124354954673106)","('saddle', 0.7115371177028542)","('cone', 0.5859768467926855)","('cone', 0.577201462751348)","('cone', 0.577201462751348)","('beachpail', 0.6488829786105853)","('beachpail', 0.6517798038371267)","('wheelbarrow', 0.3271620519469257)","('wheelbarrow', 0.33784593893992093)","('lifejacket', -0.8654975310439442)","('baseballball', -0.8154240302763678)","('rubberduck', -3.08829394975281)","('tennisball', -2.987288157435841)","('tennisball', -2.987288157435841)"
6,"('rubberduck', 0.980639513178817)","('rubberduck', 0.9806206455335544)","('tennisball', 0.9586278123888832)","('tennisball', 0.9602073173130624)","('tennisball', 0.9602073173130624)","('hammer', 0.9207293401008476)","('hammer', 0.9207374475473086)","('trophy', 0.7591696839483624)","('trophy', 0.7591696839483624)","('trophy', 0.7591696839483624)","('baseballball', 0.9133636715554995)","('baseballball', 0.9133610343494654)","('cart', 0.9016954636259267)","('cart', 0.9016954636259267)","('cart', 0.8770832361590134)","('cart', 0.8770832361590134)","('beachchair', 0.8192885872069574)","('beachchair', 0.8192885872069574)","('beachchair', 0.8192885872069574)","('remotecontrol', 0.8173237566823903)","('remotecontrol', 0.8172815143939576)","('baseballball', 0.8221772065371286)","('baseballball', 0.8249987610460838)","('beachchair', 0.7508679941967182)","('beachchair', 0.7417086984899006)","('saddle', 0.6418890774096159)","('saddle', 0.6393897785666184)","('saddle', 0.6393897785666184)","('cone', 0.6887626317255254)","('cone', 0.6901329674716133)","('saddle', 0.43766998221458214)","('saddle', 0.4135664611837207)","('golfclubs', -0.5713061376622157)","('golfclubs', -0.6108477628232735)","('barbie', -2.9720435027921535)","('cow', -2.4949142033665868)","('cow', -2.4949142033665868)"
7,"('golfclubs', 0.9820269733892226)","('golfclubs', 0.981958258912865)","('ironing', 0.9638499172325541)","('ironing', 0.9638479326190542)","('ironing', 0.9638479326190542)","('toothpaste', 0.9231331745177015)","('toothpaste', 0.9231416902697005)","('cone', 0.825450912222221)","('cone', 0.825450912222221)","('cone', 0.825450912222221)","('toothpaste', 0.9244697183343615)","('toothpaste', 0.924469520707644)","('cone', 0.906866634420533)","('cone', 0.906866634420533)","('baseballball', 0.9083587664925444)","('baseballball', 0.9083587664925444)","('helmet', 0.8472947286421959)","('helmet', 0.8472947286421959)","('helmet', 0.8472947286421959)","('wheelbarrow', 0.8466148087276253)","('wheelbarrow', 0.8468864659085956)","('beachpail', 0.8472054596055274)","('beachpail', 0.8471096590537976)","('helmet', 0.8011560710982979)","('helmet', 0.7992290949347788)","('cart', 0.7626548990242293)","('beachchair', 0.7475235473093902)","('beachchair', 0.7475235473093902)","('saddle', 0.7024769875767459)","('saddle', 0.7055333860646197)","('cone', 0.49353863318641356)","('cone', 0.48507967755754405)","('wheelbarrow', -0.34860347752875714)","('wheelbarrow', -0.36630678707202446)","('cutter', -2.586421895082742)","('pants', -2.422417044604415)","('pants', -2.422417044604415)"
8,"('tennisball', 0.9831835422689982)","('tennisball', 0.98284924107855)","('lifejacket', 0.9714277317794611)","('lifejacket', 0.9715154465847418)","('lifejacket', 0.9715154465847418)","('tent', 0.926653518229952)","('tent', 0.9263319911089187)","('beachpail', 0.8342686940342294)","('beachpail', 0.8342686940342294)","('beachpail', 0.8342686940342294)","('hammer', 0.9266916984979134)","('hammer', 0.9266834017106297)","('baseballball', 0.920211300479032)","('baseballball', 0.920211300479032)","('hammer', 0.9086722976801797)","('hammer', 0.9086722976801797)","('wheelbarrow', 0.8480700922575153)","('wheelbarrow', 0.8480700922575153)","('wheelbarrow', 0.8480700922575153)","('saddle', 0.8965916100968749)","('saddle', 0.8966173778224579)","('saddle', 0.8579421954432596)","('saddle', 0.8577578555961068)","('beachpail', 0.834202778995744)","('beachpail', 0.8320502297511533)","('beachchair', 0.7631142761896352)","('cart', 0.7546596386463668)","('cart', 0.7546596386463668)","('beachchair', 0.7355704177569352)","('beachchair', 0.7349051273450083)","('helmet', 0.5260927869162999)","('helmet', 0.4921898786811074)","('saddle', -0.15828716820822727)","('remotecontrol', -0.24973402628623026)","('cow', -2.3545854099187253)","('starfish', -2.2968154784794446)","('starfish', -2.2968154784794446)"
9,"('toothpaste', 0.983587111688476)","('toothpaste', 0.984119482612377)","('baseballball', 0.9719265167883964)","('baseballball', 0.9720997694209345)","('baseballball', 0.9720997694209345)","('rubberduck', 0.9294763056779278)","('rubberduck', 0.929481995369386)","('baseballball', 0.8467199114813986)","('baseballball', 0.8467199114813986)","('baseballball', 0.8467199114813986)","('punchingbag', 0.9358600291806769)","('punchingbag', 0.9358472523790724)","('remotecontrol', 0.9382463296931739)","('remotecontrol', 0.938246542115947)","('garbagebin', 0.9337190982307293)","('garbagebin', 0.9337190982307293)","('baseballball', 0.8599177545190461)","('baseballball', 0.8599177545190461)","('baseballball', 0.8599177545190461)","('cart', 0.9220835173506833)","('cart', 0.922094116589937)","('helmet', 0.8608251523335119)","('helmet', 0.8579626148363311)","('trophy', 0.8705674630518304)","('trophy', 0.8694473668707338)","('helmet', 0.7910861899457828)","('helmet', 0.7841076986603787)","('helmet', 0.7841076986603787)","('helmet', 0.7614267675037273)","('helmet', 0.7611443011420551)","('trophy', 0.6470693821044641)","('trophy', 0.6342607315300226)","('remotecontrol', -0.09156119069749298)","('saddle', -0.20705118254805446)","('lifejacket', -1.7640703886488822)","('rubberduck', -1.524429623278287)","('rubberduck', -1.524429623278287)"
