,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10,Layer11_top10,Layer12_top10,Layer13_top10,Layer14_top10,Layer15_top10,Layer16_top10,Layer17_top10,Layer18_top10,Layer19_top10,Layer20_top10,Layer21_top10,Layer22_top10,Layer23_top10,Layer24_top10,Layer25_top10,Layer26_top10,Layer27_top10,Layer28_top10,Layer29_top10,Layer30_top10,Layer31_top10,Layer32_top10,Layer33_top10,Layer34_top10,Layer35_top10,Layer36_top10,Layer37_top10
0,"('steering_wheel', 1.0288219832815073)","('steering_wheel', 1.0287259314429722)","('cow', 1.088080687075979)","('cow', 1.0881455234570685)","('cow', 1.0881455234570685)","('rolette', 1.1989451935593463)","('rolette', 1.1989570457395833)","('rolette', 1.523512124192952)","('rolette', 1.523512124192952)","('rolette', 1.523512124192952)","('steering_wheel', 1.3939107645414466)","('steering_wheel', 1.39388905089784)","('steering_wheel', 1.2985645758324273)","('steering_wheel', 1.2985645758324273)","('steering_wheel', 1.318947220580121)","('steering_wheel', 1.318947220580121)","('steering_wheel', 1.476406338576122)","('steering_wheel', 1.476406338576122)","('steering_wheel', 1.476406338576122)","('steering_wheel', 1.4609101666271629)","('steering_wheel', 1.4599694083470593)","('steering_wheel', 1.6468161270811685)","('steering_wheel', 1.6471607848291447)","('cow', 2.238050166712869)","('cow', 2.238700434380519)","('cow', 4.5403999242275646)","('cow', 4.55145845558003)","('cow', 4.55145845558003)","('cow', 4.930661966783964)","('cow', 4.98022249645006)","('starfish', 5.586254746937987)","('starfish', 6.324453718129553)","('rubberduck', 17.61922470080301)","('rubberduck', 26.21270857445861)","('steering_wheel', 93.43485729910283)","('paper', 10.115893286016064)","('paper', 10.115893286016064)"
1,"('parkingmeter', 1.0282863342455022)","('parkingmeter', 1.0281750128902052)","('sink', 1.0801842640000119)","('sink', 1.080124405565912)","('sink', 1.080124405565912)","('sink', 1.1927351020443613)","('sink', 1.1927519138880531)","('slippers', 1.459989969658369)","('slippers', 1.459989969658369)","('slippers', 1.459989969658369)","('paper', 1.2297714228154402)","('paper', 1.2297538778646933)","('slippers', 1.217693012991215)","('slippers', 1.217693012991215)","('paper', 1.2209188274109923)","('paper', 1.2209188274109923)","('slippers', 1.3968744318246797)","('slippers', 1.3968744318246797)","('slippers', 1.3968744318246797)","('paper', 1.4541573241477337)","('paper', 1.4540704952573416)","('rubberduck', 1.5644773844345987)","('rubberduck', 1.5614281844758264)","('steering_wheel', 2.0363455084759865)","('steering_wheel', 2.040950930495131)","('steering_wheel', 3.19141868741609)","('steering_wheel', 3.243768603900867)","('steering_wheel', 3.243768603900867)","('steering_wheel', 3.282659193383953)","('steering_wheel', 3.3021440210004487)","('tennisball', 5.436416286758349)","('tennisball', 5.889844508078473)","('slippers', 7.5177914944428945)","('slippers', 10.325536551453688)","('slippers', 12.648161666889203)","('saddle', 8.519536005394198)","('saddle', 8.519536005394198)"
2,"('sink', 1.0278332644632966)","('sink', 1.0277111307685114)","('steering_wheel', 1.070730939123342)","('steering_wheel', 1.0707705126143605)","('steering_wheel', 1.0707705126143605)","('pot', 1.1584110534240781)","('pot', 1.1584241695224886)","('paper', 1.4514890119165713)","('paper', 1.4514890119165713)","('paper', 1.4514890119165713)","('slippers', 1.1860871080447224)","('slippers', 1.1860779908390635)","('paper', 1.2126769092193683)","('paper', 1.2126769092193683)","('rolette', 1.2200591840368062)","('rolette', 1.2200591840368062)","('paper', 1.375704703547872)","('paper', 1.375704703547872)","('paper', 1.375704703547872)","('slippers', 1.3206600810688498)","('slippers', 1.3207815934273266)","('cow', 1.5195038926107363)","('cow', 1.5197115281000284)","('paper', 1.7305473028404108)","('paper', 1.7350405509691287)","('slippers', 2.5708593597697798)","('slippers', 2.5910278707262937)","('slippers', 2.5910278707262937)","('tennisball', 2.876593586980126)","('tennisball', 2.866770021611147)","('steering_wheel', 4.418044597706913)","('steering_wheel', 4.884878705421277)","('steering_wheel', 6.653323027594075)","('steering_wheel', 7.33847235398053)","('paper', 6.098565105142807)","('ironing', 5.388450248395091)","('ironing', 5.388450248395091)"
3,"('stapler', 1.0271617714571264)","('stapler', 1.027055472339498)","('sofa', 1.0676779733299908)","('sofa', 1.0677071371370386)","('sofa', 1.0677071371370386)","('steering_wheel', 1.1405751517563325)","('steering_wheel', 1.1405871261038076)","('steering_wheel', 1.4293308905598927)","('steering_wheel', 1.4293308905598927)","('steering_wheel', 1.4293308905598927)","('starfish', 1.18378165296878)","('starfish', 1.183791164723598)","('rolette', 1.1817757501964574)","('rolette', 1.1817757501964574)","('dumbbell', 1.1977539628478782)","('dumbbell', 1.1977539628478782)","('rolette', 1.2744223717741703)","('rolette', 1.2744223717741703)","('rolette', 1.2744223717741703)","('ironing', 1.3040064466503034)","('ironing', 1.3038432053001288)","('paper', 1.5081655037808075)","('paper', 1.510357125483242)","('rubberduck', 1.6905073790733982)","('rubberduck', 1.6867446022610988)","('paper', 2.2809399159834385)","('paper', 2.2834719685480667)","('paper', 2.2834719685480667)","('paper', 2.213064512327292)","('paper', 2.223156361274503)","('rubberduck', 3.604062259640142)","('rubberduck', 3.7881451236649593)","('pants', 3.8647235482996796)","('pants', 4.35109033171231)","('ironing', 4.028002698666695)","('toothpaste', 4.927153922423288)","('toothpaste', 4.927153922423288)"
4,"('pot', 1.024983935037252)","('pot', 1.0248700079149742)","('pot', 1.066361022398446)","('pot', 1.066172154943359)","('pot', 1.066172154943359)","('paper', 1.1356747351824856)","('paper', 1.1356920776416253)","('cow', 1.4133257207833054)","('cow', 1.4133257207833054)","('cow', 1.4133257207833054)","('dumbbell', 1.1773638272577134)","('dumbbell', 1.1773500671452026)","('dumbbell', 1.1767375666315416)","('dumbbell', 1.1767375666315416)","('ironing', 1.188275698967404)","('ironing', 1.188275698967404)","('ironing', 1.2626794566816744)","('ironing', 1.2626794566816744)","('ironing', 1.2626794566816744)","('starfish', 1.2647454309693669)","('starfish', 1.26511193719687)","('ironing', 1.4779026484169016)","('ironing', 1.4791975181015267)","('rolette', 1.5472269690827112)","('rolette', 1.5494151968231211)","('rubberduck', 2.2590850845159673)","('rubberduck', 2.253384945778383)","('rubberduck', 2.253384945778383)","('slippers', 2.163520153867495)","('slippers', 2.1686617646234057)","('slippers', 3.3583422606436257)","('slippers', 3.655233767192586)","('paper', 3.5677658600184396)","('cutter', 3.8078736677994036)","('pot', 3.337188624806932)","('pot', 4.282577951999963)","('pot', 4.282577951999963)"
5,"('stove', 1.0249251625542495)","('stove', 1.0248095371814876)","('coatrack', 1.0643058561284515)","('coatrack', 1.064258500801498)","('coatrack', 1.064258500801498)","('stove', 1.1156966050105934)","('stove', 1.1157076376904176)","('tennisball', 1.384733428697423)","('tennisball', 1.384733428697423)","('tennisball', 1.384733428697423)","('rolette', 1.1769598490001696)","('rolette', 1.176970983234166)","('fries', 1.1512522303436095)","('fries', 1.1512522303436095)","('starfish', 1.1799254691593284)","('starfish', 1.1799254691593284)","('barbie', 1.2395221483001675)","('barbie', 1.2395221483001675)","('barbie', 1.2395221483001675)","('dumbbell', 1.2517505099624093)","('dumbbell', 1.2519387709252705)","('rolette', 1.4036967369916762)","('rolette', 1.4044732953999493)","('ironing', 1.5285863052582211)","('ironing', 1.530618785382165)","('tennisball', 2.250419115261323)","('tennisball', 2.183570955428966)","('tennisball', 2.183570955428966)","('rubberduck', 2.1080891569468574)","('rubberduck', 2.0986126893286556)","('paper', 2.9236495474896618)","('paper', 3.0492836255245757)","('cutter', 3.2994184566732576)","('paper', 3.785617233700174)","('pancake', 2.7963413204688967)","('pancake', 3.5729031664110242)","('pancake', 3.5729031664110242)"
6,"('cow', 1.0248622564824386)","('cow', 1.0247615317613061)","('slippers', 1.0629690453872196)","('slippers', 1.0624819881043346)","('slippers', 1.0624819881043346)","('cow', 1.1077153875976553)","('cow', 1.1077254451905836)","('sink', 1.325704549076719)","('sink', 1.325704549076719)","('sink', 1.325704549076719)","('tennisball', 1.1492099571414076)","('tennisball', 1.1492253930790821)","('pants', 1.1458699033361195)","('pants', 1.1458699033361195)","('slippers', 1.1779029398872503)","('slippers', 1.1779029398872503)","('cheesegrater', 1.2175768318780595)","('cheesegrater', 1.217548272184582)","('cheesegrater', 1.217548272184582)","('rubberduck', 1.239277682343229)","('rubberduck', 1.2389438016544196)","('slippers', 1.3888149432739965)","('slippers', 1.3891604058394469)","('toothpaste', 1.5279590979151514)","('toothpaste', 1.5291442166867586)","('pants', 1.9257013959201628)","('pants', 1.9659242966539212)","('pants', 1.9659242966539212)","('pants', 2.0182262025818587)","('pants', 2.0193448759480503)","('pants', 2.1431063626757694)","('pants', 2.219041140955659)","('ironing', 2.972832184333369)","('ironing', 3.0372410333340203)","('toothpaste', 2.6665120496869132)","('coffeecup', 3.435555812911642)","('coffeecup', 3.435555812911642)"
7,"('fries', 1.0237051794720258)","('fries', 1.0235963202613632)","('stapler', 1.0621703070601374)","('stapler', 1.0622606973638686)","('stapler', 1.0622606973638686)","('sofa', 1.1063251700410057)","('sofa', 1.1063344867007923)","('coatrack', 1.289620392430714)","('coatrack', 1.289620392430714)","('coatrack', 1.289620392430714)","('barbie', 1.1325310434916889)","('barbie', 1.1325373059839376)","('barbie', 1.1313592737776523)","('barbie', 1.1313592737776523)","('barbie', 1.1485312669382168)","('barbie', 1.1485312669382168)","('dumbbell', 1.2080029353942032)","('dumbbell', 1.208046130555135)","('dumbbell', 1.208046130555135)","('barbie', 1.2317865696131418)","('barbie', 1.2318107221859422)","('barbie', 1.3773165474964606)","('barbie', 1.3777521364813479)","('slippers', 1.4762884474953843)","('slippers', 1.4805348580944049)","('rolette', 1.8447697435596073)","('rolette', 1.8621569898161152)","('rolette', 1.8621569898161152)","('rolette', 1.8257577914977319)","('rolette', 1.84085156980323)","('ironing', 2.1190204928215652)","('ironing', 2.153844457468498)","('barbie', 2.4850685988211114)","('barbie', 2.5351148997550585)","('parkingmeter', 2.540633933794181)","('rolette', 3.3198288149748043)","('rolette', 3.3198288149748043)"
8,"('helmet', 1.0224291800186793)","('helmet', 1.0223275916746146)","('parkingmeter', 1.0495216149082611)","('parkingmeter', 1.0495406354249888)","('parkingmeter', 1.0495406354249888)","('slippers', 1.0958073480978119)","('slippers', 1.0958562677700143)","('barbie', 1.2788618352571086)","('barbie', 1.2788618352571086)","('barbie', 1.2788618352571086)","('sink', 1.120726015356826)","('sink', 1.1207119270105628)","('ironing', 1.1310502229378785)","('ironing', 1.1310502229378785)","('train', 1.1178987790151487)","('train', 1.1178987790151487)","('rubberduck', 1.204605921419878)","('rubberduck', 1.204605921419878)","('rubberduck', 1.204605921419878)","('rolette', 1.2294368661527952)","('rolette', 1.2294276688270276)","('cheesegrater', 1.330939161592224)","('cheesegrater', 1.331816485651325)","('cheesegrater', 1.4253387988574033)","('cheesegrater', 1.4269658409781685)","('baseballball', 1.6983690764349246)","('baseballball', 1.7058503619710126)","('baseballball', 1.7058503619710126)","('ironing', 1.6688188058078084)","('ironing', 1.6657275798069375)","('baseballball', 2.051129691739777)","('baseballball', 2.153224578635524)","('pot', 2.270341465771931)","('pancake', 2.2880155297801417)","('motorhelmet', 2.378989864878397)","('parkingmeter', 3.2922151383199294)","('parkingmeter', 3.2922151383199294)"
9,"('sofa', 1.0206691186025)","('sofa', 1.0205483612724622)","('motorhelmet', 1.046755374947715)","('motorhelmet', 1.0467720894175365)","('motorhelmet', 1.0467720894175365)","('helmet', 1.0909774108061812)","('helmet', 1.0909885656277043)","('pot', 1.2221013238999443)","('pot', 1.2221013238999443)","('pot', 1.2221013238999443)","('coatrack', 1.1009996158143718)","('coatrack', 1.100994771148037)","('starfish', 1.1220234208048914)","('starfish', 1.1220234208048914)","('fries', 1.1175612593825357)","('fries', 1.1175612593825357)","('vacuum', 1.1859437676956035)","('vacuum', 1.1859437676956035)","('vacuum', 1.1859437676956035)","('cow', 1.2190705350619029)","('cow', 1.2191151863340213)","('pot', 1.2720394260993966)","('pot', 1.2721870708367224)","('stapler', 1.4120779052791468)","('stapler', 1.414750213890013)","('ironing', 1.694032259949252)","('ironing', 1.7008019483844603)","('ironing', 1.7008019483844603)","('pot', 1.580718387294727)","('pot', 1.5761251232985622)","('pot', 1.8420435152868173)","('pot', 1.8451070961678382)","('pancake', 2.200286395125999)","('pot', 2.2699374668499956)","('coffeecup', 2.364907928828568)","('motorhelmet', 3.2546736517963764)","('motorhelmet', 3.2546736517963764)"
